,sample,clusters
0,100_2,0
1,101_3,2
2,102_2,0
3,103_3,3
4,104_2,2
5,105_2,0
6,106_4,3
7,107_4,3
8,109_1,2
9,11_4,3
10,110_3,2
11,111_2,0
12,112_2,3
13,113_2,2
14,114_3,0
15,115_1,2
16,116_4,3
17,117_1,3
18,119_1,3
19,120_1,3
20,121_3,3
21,122_2,0
22,123_3,2
23,124_4,3
24,125_4,2
25,126_1,2
26,127_2,2
27,128_3,2
28,129_2,0
29,130_3,3
30,131_3,3
31,132_3,3
32,133_4,2
33,134_2,3
34,136_2,0
35,137_1,3
36,138_2,3
37,139_1,3
38,141_2,2
39,142_1,2
40,144_3,2
41,145_1,3
42,146_2,3
43,147_2,3
44,148_4,2
45,149_1,2
46,15_2,0
47,150_4,2
48,152_2,3
49,153_1,2
50,154_2,3
51,155_3,3
52,156_2,3
53,157_4,2
54,158_3,2
55,159_3,2
56,160_4,2
57,161_2,3
58,162_1,2
59,163_1,0
60,165_2,0
61,166_2,0
62,167_2,0
63,168_2,0
64,17_1,3
65,171_2,0
66,172_1,0
67,173_1,0
68,174_2,0
69,176_2,0
70,177_1,0
71,178_4,0
72,179_2,0
73,18_1,2
74,180_2,3
75,181_2,0
76,182_2,0
77,183_2,0
78,184_3,0
79,185_2,0
80,186_2,0
81,187_2,2
82,188_2,3
83,189_1,0
84,19_2,2
85,190_2,2
86,191_3,0
87,192_2,2
88,193_2,0
89,196_3,3
90,197_2,2
91,198_4,2
92,199_2,2
93,2_1,3
94,20_2,2
95,200_2,0
96,201_2,0
97,202_3,0
98,203_4,0
99,204_3,2
100,205_2,0
101,206_3,3
102,207_2,0
103,208_3,2
104,209_4,0
105,21_2,3
106,212_3,2
107,215_2,2
108,216_2,3
109,217_1,3
110,218_1,0
111,219_2,0
112,22_2,3
113,220_2,0
114,221_3,0
115,223_4,0
116,224_4,0
117,225_2,0
118,226_4,0
119,227_2,0
120,228_4,0
121,229_1,0
122,23_2,1
123,232_4,0
124,233_2,0
125,234_4,0
126,235_3,0
127,236_3,0
128,237_1,0
129,24_2,3
130,240_2,0
131,241_3,0
132,242_3,0
133,243_1,0
134,244_3,0
135,245_3,0
136,246_1,0
137,247_3,3
138,248_3,3
139,249_4,2
140,25_3,3
141,250_3,2
142,251_1,0
143,252_2,0
144,253_4,0
145,254_1,2
146,26_3,2
147,263_3,0
148,264_1,0
149,265_1,2
150,266_1,0
151,267_2,0
152,268_3,0
153,269_3,0
154,27_2,2
155,270_4,0
156,271_2,2
157,272_4,0
158,273_2,2
159,276_2,0
160,277_2,0
161,278_3,0
162,279_2,3
163,28_2,2
164,280_4,0
165,281_2,3
